workbook,view,tema,ladefe_url,status,download_url,final_url,http_status,content_type,content_disposition,bytes,package_type,twb_count,hyper_count
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,perfil-demografico-de-los-ninos-ninas-y-adolescentes,https://ladefe.gob.ar/monitoreo/perfil-demografico-de-los-ninos-ninas-y-adolescentes/informacion-demografica-censal/,ok,https://public.tableau.com/workbooks/1_1Aspectosdemogrficos_Informacincensal.twb,https://public.tableau.com/workbooks/1_1Aspectosdemogrficos_Informacincensal.twb,200,application/x-twb,"attachment; filename=""workbook""",4556253,twbx_zip,1,1
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,perfil-demografico-de-los-ninos-ninas-y-adolescentes,https://ladefe.gob.ar/monitoreo/perfil-demografico-de-los-ninos-ninas-y-adolescentes/informacion-demografica-urbana-eph/,ok,https://public.tableau.com/workbooks/1_2Aspectosdemogrficos_Censal.twb,https://public.tableau.com/workbooks/1_2Aspectosdemogrficos_Censal.twb,200,application/x-twb,"attachment; filename=""workbook""",4564972,twbx_zip,1,1
2_1NBI,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/pobreza/necesidades-basicas-insatisfechas/,ok,https://public.tableau.com/workbooks/2_1NBI.twb,https://public.tableau.com/workbooks/2_1NBI.twb,200,application/x-twb,"attachment; filename=""workbook""",4555098,twbx_zip,1,1
2_1aTasasdepobreza,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/pobreza/pobreza-monetaria/tasa-de-pobreza-e-indigencia/,ok,https://public.tableau.com/workbooks/2_1aTasasdepobreza.twb,https://public.tableau.com/workbooks/2_1aTasasdepobreza.twb,200,application/x-twb,"attachment; filename=""workbook""",4556257,twbx_zip,1,1
2_1bPobrezahogares,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/pobreza/pobreza-monetaria/pobreza-segun-caracteristicas-de-los-hogares-2/,ok,https://public.tableau.com/workbooks/2_1bPobrezahogares.twb,https://public.tableau.com/workbooks/2_1bPobrezahogares.twb,200,application/x-twb,"attachment; filename=""workbook""",4556187,twbx_zip,1,1
2_2aSeg_social_General,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/cobertura-de-la-seguridad-social-total/,ok,https://public.tableau.com/workbooks/2_2aSeg_social_General.twb,https://public.tableau.com/workbooks/2_2aSeg_social_General.twb,200,application/x-twb,"attachment; filename=""workbook""",4571334,twbx_zip,1,1
2_2bAUH,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/asignacion-universal-por-hija-o-auh-2/,ok,https://public.tableau.com/workbooks/2_2bAUH.twb,https://public.tableau.com/workbooks/2_2bAUH.twb,200,application/x-twb,"attachment; filename=""workbook""",4572015,twbx_zip,1,1
2_2cAAFF,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/asignacion-por-hija-o-aaff/,ok,https://public.tableau.com/workbooks/2_2cAAFF.twb,https://public.tableau.com/workbooks/2_2cAAFF.twb,200,application/x-twb,"attachment; filename=""workbook""",4572032,twbx_zip,1,1
2_2dAsignacinembarazo,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/asignaciones-para-embarazo-aue-y-prenatal-2/,ok,https://public.tableau.com/workbooks/2_2dAsignacinembarazo.twb,https://public.tableau.com/workbooks/2_2dAsignacinembarazo.twb,200,application/x-twb,"attachment; filename=""workbook""",4571456,twbx_zip,1,1
2_2ePensinmadre7hijos,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/pension-para-madres-de-7-hijas-os-o-mas-2/,ok,https://public.tableau.com/workbooks/2_2ePensinmadre7hijos.twb,https://public.tableau.com/workbooks/2_2ePensinmadre7hijos.twb,200,application/x-twb,"attachment; filename=""workbook""",4571858,twbx_zip,1,1
